SampleID,C,Fold
1,Vata,1
2,Kapha,1
3,Vata,1
4,Vata,1
5,Kapha,1
6,Pitta,1
7,Kapha,1
8,Pitta,1
9,Kapha,1
10,Kapha,0
11,Pitta,1
12,Pitta,1
13,Pitta,1
14,Kapha,1
15,Kapha,0
16,Pitta,0
17,Vata,1
18,Pitta,0
19,Vata,1
20,Kapha,1
21,Kapha,1
22,Pitta,1
23,Kapha,1
24,Pitta,1
25,Vata,1
26,Kapha,1
27,Pitta,1
28,Vata,1
29,Kapha,0
30,Pitta,1
31,Vata,0
32,Kapha,0
33,Kapha,1
34,Pitta,1
35,Kapha,1
36,Kapha,1
37,Kapha,1
38,Kapha,0
39,Kapha,1
40,Kapha,1
41,Pitta,1
42,Kapha,0
43,Vata,1
44,Vata,1
45,Pitta,0
46,Pitta,1
47,Pitta,1
48,Pitta,1
49,Vata,1
50,Vata,1
51,Vata,1
52,Vata,0
53,Vata,1
54,Vata,1
55,Pitta,0
56,Kapha,1
57,Kapha,1
58,Kapha,0
59,Pitta,1
60,Pitta,1
61,Pitta,1
62,Vata,1
63,Vata,0
64,Vata,1
65,Kapha,1
66,Pitta,1
67,Vata,1
68,Vata,1
69,Vata,1
70,Vata,1
71,Pitta,1
72,Pitta,1
73,Kapha,1
74,Pitta,1
75,Vata,0
76,Kapha,1
77,Kapha,1
78,Vata,1
79,Vata,1
80,Vata,1
81,Kapha,0
82,Kapha,0
83,Vata,1
84,Vata,0
85,Kapha,1
86,Kapha,1
87,Kapha,1
88,Pitta,1
89,Vata,1
90,Vata,1
91,Vata,1
92,Kapha,0
93,Kapha,1
94,Pitta,1
95,Vata,1
96,Vata,1
97,Vata,0
98,Vata,0
99,Vata,1
100,Vata,1
101,Kapha,1
102,Kapha,1
103,Pitta,1
104,Kapha,1
105,Vata,1
106,Pitta,0
107,Vata,1
108,Vata,1
109,Kapha,1
110,Pitta,1
111,Pitta,1
112,Vata,1
113,Vata,1
114,Vata,1
115,Vata,1
116,Kapha,0
117,Kapha,1
118,Kapha,1
119,Pitta,1
120,Vata,1
121,Vata,0
122,Vata,1
123,Vata,1
124,Vata,0
125,Vata,1
126,Kapha,1
127,Vata,1
128,Vata,1
129,Pitta,1
130,Vata,1
131,Vata,1
132,Vata,
133,Vata,
134,Kapha,
135,Kapha,
136,Vata,
137,Pitta,
138,Kapha,
139,Vata,
140,Vata,
141,Vata,
142,Vata,
143,Vata,
144,Vata,
145,Vata,
146,Vata,
147,Pitta,
