SampleID,C,Fold
1,Vata,0
2,Kapha,0
3,Vata,0
4,Vata,1
5,Kapha,1
6,Pitta,1
7,Kapha,1
8,Pitta,1
9,Kapha,1
10,Kapha,1
11,Pitta,0
12,Pitta,1
13,Pitta,1
14,Kapha,1
15,Kapha,1
16,Pitta,1
17,Vata,0
18,Pitta,1
19,Vata,1
20,Kapha,1
21,Kapha,0
22,Pitta,1
23,Kapha,1
24,Pitta,1
25,Vata,1
26,Kapha,1
27,Pitta,1
28,Vata,1
29,Kapha,1
30,Pitta,1
31,Vata,1
32,Kapha,0
33,Kapha,1
34,Pitta,1
35,Kapha,1
36,Kapha,1
37,Kapha,0
38,Kapha,1
39,Kapha,1
40,Kapha,0
41,Pitta,1
42,Kapha,1
43,Vata,0
44,Vata,1
45,Pitta,1
46,Pitta,0
47,Pitta,1
48,Pitta,1
49,Vata,1
50,Vata,1
51,Vata,0
52,Vata,1
53,Vata,1
54,Vata,1
55,Pitta,0
56,Kapha,1
57,Kapha,1
58,Kapha,1
59,Pitta,1
60,Pitta,1
61,Pitta,1
62,Vata,1
63,Vata,1
64,Vata,1
65,Kapha,0
66,Pitta,1
67,Vata,1
68,Vata,1
69,Vata,1
70,Vata,1
71,Pitta,1
72,Pitta,1
73,Kapha,1
74,Pitta,0
75,Vata,1
76,Kapha,1
77,Kapha,1
78,Vata,1
79,Vata,1
80,Vata,1
81,Kapha,1
82,Kapha,1
83,Vata,1
84,Vata,1
85,Kapha,1
86,Kapha,1
87,Kapha,1
88,Pitta,1
89,Vata,0
90,Vata,1
91,Vata,1
92,Kapha,1
93,Kapha,1
94,Pitta,1
95,Vata,0
96,Vata,0
97,Vata,0
98,Vata,1
99,Vata,1
100,Vata,1
101,Kapha,1
102,Kapha,1
103,Pitta,1
104,Kapha,1
105,Vata,1
106,Pitta,0
107,Vata,0
108,Vata,1
109,Kapha,1
110,Pitta,1
111,Pitta,1
112,Vata,0
113,Vata,1
114,Vata,1
115,Vata,1
116,Kapha,1
117,Kapha,1
118,Kapha,1
119,Pitta,1
120,Vata,1
121,Vata,1
122,Vata,1
123,Vata,1
124,Vata,0
125,Vata,1
126,Kapha,1
127,Vata,0
128,Vata,1
129,Pitta,1
130,Vata,1
131,Vata,0
132,Vata,1
133,Vata,0
134,Kapha,1
135,Kapha,0
136,Vata,1
137,Pitta,0
138,Kapha,1
139,Vata,1
140,Vata,1
141,Vata,0
142,Vata,1
143,Vata,1
144,Vata,1
145,Vata,1
146,Vata,1
147,Pitta,1
